#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
chromosome,NC_014218.1,116,1711,+,,dnaA,ARCH_RS00010,WP_041640490.1,531,chromosomal replication initiator protein DnaA
chromosome,NC_014218.1,2071,3189,+,,dnaN,ARCH_RS00015,WP_013169268.1,372,DNA polymerase III subunit beta
chromosome,NC_014218.1,3195,4427,+,,recF,ARCH_RS00020,WP_013169269.1,410,DNA replication/repair protein RecF
chromosome,NC_014218.1,4424,5008,+,,,ARCH_RS00025,WP_013169270.1,194,DciA family protein
chromosome,NC_014218.1,5191,7239,+,,gyrB,ARCH_RS00030,WP_013169271.1,682,DNA topoisomerase (ATP-hydrolyzing) subunit B
chromosome,NC_014218.1,7264,9828,+,,gyrA,ARCH_RS00035,WP_013169272.1,854,DNA gyrase subunit A
chromosome,NC_014218.1,9864,10298,+,,,ARCH_RS00040,WP_013169273.1,144,DUF3566 domain-containing protein
chromosome,NC_014218.1,11373,13109,-,,,ARCH_RS00055,WP_013169275.1,578,putative DNA binding domain-containing protein
chromosome,NC_014218.1,13363,16311,-,,,ARCH_RS09155,WP_013169276.1,982,discoidin domain-containing protein
chromosome,NC_014218.1,16863,18680,+,,,ARCH_RS00065,WP_013169277.1,605,LTA synthase family protein
chromosome,NC_014218.1,18755,19846,-,,,ARCH_RS00070,WP_041640240.1,363,aminoglycoside phosphotransferase family protein
chromosome,NC_014218.1,19831,21987,-,,gnpA,ARCH_RS00075,WP_041640242.1,718,"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase"
chromosome,NC_014218.1,22246,23418,+,,,ARCH_RS00080,WP_013169280.1,390,ROK family transcriptional regulator
chromosome,NC_014218.1,23405,24640,-,,,ARCH_RS00085,WP_041640244.1,411,sodium:glutamate symporter
chromosome,NC_014218.1,24767,25372,+,,,ARCH_RS09160,WP_013169282.1,201,GNAT family N-acetyltransferase
chromosome,NC_014218.1,25350,26057,-,,,ARCH_RS00095,WP_013169283.1,235,TetR/AcrR family transcriptional regulator
chromosome,NC_014218.1,26177,29101,+,,,ARCH_RS00100,WP_013169284.1,974,YhgE/Pip domain-containing protein
chromosome,NC_014218.1,29323,30975,+,,,ARCH_RS00105,WP_187286518.1,550,lactate permease LctP family transporter
chromosome,NC_014218.1,31039,31827,+,,,ARCH_RS00110,WP_013169286.1,262,(Fe-S)-binding protein
chromosome,NC_014218.1,31827,33353,+,,,ARCH_RS00115,WP_013169287.1,508,LutB/LldF family L-lactate oxidation iron-sulfur protein
chromosome,NC_014218.1,33374,34003,+,,,ARCH_RS00120,WP_041640501.1,209,LUD domain-containing protein
chromosome,NC_014218.1,34768,37215,+,,,ARCH_RS00125,WP_231958047.1,815,choice-of-anchor K domain-containing protein
chromosome,NC_014218.1,37240,38715,+,,,ARCH_RS00130,WP_013169290.1,491,SpaH/EbpB family LPXTG-anchored major pilin
chromosome,NC_014218.1,38911,40626,+,,,ARCH_RS00135,WP_013169291.1,571,5\\'-nucleotidase C-terminal domain-containing protein
chromosome,NC_014218.1,40803,43460,+,,,ARCH_RS09165,WP_013169292.1,885,exo-alpha-sialidase
chromosome,NC_014218.1,43596,43865,+,,,ARCH_RS09825,WP_145961595.1,89,hypothetical protein
chromosome,NC_014218.1,46249,47247,+,,rarD,ARCH_RS00150,WP_013169294.1,332,EamA family transporter RarD
chromosome,NC_014218.1,47510,49942,+,,,ARCH_RS00155,WP_041640246.1,810,SpaA isopeptide-forming pilin-related protein
chromosome,NC_014218.1,49953,50138,+,,,ARCH_RS00160,WP_041640248.1,61,LPXTG cell wall anchor domain-containing protein
chromosome,NC_014218.1,50172,51638,+,,,ARCH_RS00165,WP_013169296.1,488,SpaH/EbpB family LPXTG-anchored major pilin
chromosome,NC_014218.1,51741,52616,+,,,ARCH_RS00170,WP_013169297.1,291,class C sortase
chromosome,NC_014218.1,52741,53979,-,,,ARCH_RS00175,WP_013169298.1,412,cellulase family glycosylhydrolase
chromosome,NC_014218.1,53976,56999,-,,,ARCH_RS00180,WP_041640250.1,1007,glycosyl hydrolase-related protein
chromosome,NC_014218.1,57174,58202,+,,,ARCH_RS00185,WP_013169300.1,342,LacI family transcriptional regulator
chromosome,NC_014218.1,58253,59203,+,,,ARCH_RS00190,WP_013169301.1,316,carbohydrate kinase
chromosome,NC_014218.1,59335,60612,-,,,ARCH_RS00195,WP_013169302.1,425,AGE family epimerase/isomerase
chromosome,NC_014218.1,61302,62435,+,,,ARCH_RS00200,WP_013169303.1,377,zinc-binding dehydrogenase
chromosome,NC_014218.1,62893,64497,+,,,ARCH_RS00205,WP_197712430.1,534,MFS transporter
chromosome,NC_014218.1,64556,64930,-,,,ARCH_RS00210,WP_041640253.1,124,hypothetical protein
chromosome,NC_014218.1,65252,66115,-,,,ARCH_RS00215,WP_013169306.1,287,sugar phosphate isomerase/epimerase
chromosome,NC_014218.1,66156,67142,-,,iolG,ARCH_RS00220,WP_013169307.1,328,inositol 2-dehydrogenase
chromosome,NC_014218.1,67179,68258,-,,,ARCH_RS00225,WP_013169308.1,359,transaldolase family protein
chromosome,NC_014218.1,68491,69267,-,,,ARCH_RS00230,WP_013169309.1,258,GntR family transcriptional regulator
chromosome,NC_014218.1,69438,70427,+,,iolC,ARCH_RS00235,WP_013169310.1,329,5-dehydro-2-deoxygluconokinase
chromosome,NC_014218.1,70424,71287,+,,,ARCH_RS00240,WP_013169311.1,287,hypothetical protein
chromosome,NC_014218.1,71284,72180,+,,iolB,ARCH_RS00245,WP_013169312.1,298,5-deoxy-glucuronate isomerase
chromosome,NC_014218.1,72177,74060,+,,iolD,ARCH_RS00250,WP_013169313.1,627,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)"
chromosome,NC_014218.1,74258,75751,+,,,ARCH_RS00255,WP_013169314.1,497,CoA-acylating methylmalonate-semialdehyde dehydrogenase
chromosome,NC_014218.1,75960,77477,-,,,ARCH_RS00260,WP_013169315.1,505,M81 family metallopeptidase
chromosome,NC_014218.1,77503,78672,-,,,ARCH_RS00265,WP_013169316.1,389,ROK family transcriptional regulator
chromosome,NC_014218.1,78859,80667,+,,,ARCH_RS00270,WP_013169317.1,602,peptide ABC transporter substrate-binding protein
chromosome,NC_014218.1,80747,81709,+,,,ARCH_RS00275,WP_013169318.1,320,ABC transporter permease
chromosome,NC_014218.1,81706,82563,+,,,ARCH_RS00280,WP_013169319.1,285,ABC transporter permease
chromosome,NC_014218.1,82572,84563,+,,,ARCH_RS00285,WP_013169320.1,663,ABC transporter ATP-binding protein
chromosome,NC_014218.1,84569,85471,+,,,ARCH_RS00290,WP_013169321.1,300,ROK family protein
chromosome,NC_014218.1,85465,86736,+,,,ARCH_RS00295,WP_013169322.1,423,alpha-L-fucosidase
chromosome,NC_014218.1,87163,87822,+,,,ARCH_RS00300,WP_013169323.1,219,hypothetical protein
chromosome,NC_014218.1,87959,88837,+,,,ARCH_RS00305,WP_013169324.1,292,glycosyltransferase family 2 protein
chromosome,NC_014218.1,88960,89703,+,,,ARCH_RS00310,WP_013169325.1,247,glycerophosphoryl diester phosphodiesterase
chromosome,NC_014218.1,89823,91235,+,,,ARCH_RS00315,WP_013169326.1,470,MFS transporter
chromosome,NC_014218.1,91422,91940,+,,,ARCH_RS00320,WP_013169327.1,172,DUF3800 domain-containing protein
chromosome,NC_014218.1,92889,93896,-,,,ARCH_RS00335,WP_013169328.1,335,trypsin-like serine protease
chromosome,NC_014218.1,93899,94852,-,,,ARCH_RS00340,WP_013169329.1,317,DUF418 domain-containing protein
chromosome,NC_014218.1,95705,96697,-,,rfbB,ARCH_RS00350,WP_013169330.1,330,"dTDP-glucose 4,6-dehydratase"
chromosome,NC_014218.1,96727,97953,-,,,ARCH_RS00355,WP_013169331.1,408,ABC transporter ATP-binding protein
chromosome,NC_014218.1,97956,98891,-,,,ARCH_RS00360,WP_013169332.1,311,ABC transporter permease
chromosome,NC_014218.1,99082,100605,+,,,ARCH_RS00365,WP_013169333.1,507,hypothetical protein
chromosome,NC_014218.1,100602,103040,+,,,ARCH_RS00370,WP_013169334.1,812,glycosyltransferase
chromosome,NC_014218.1,103068,103784,+,,,ARCH_RS00375,WP_013169335.1,238,glycosyltransferase family 2 protein
chromosome,NC_014218.1,103793,104161,+,,,ARCH_RS00380,WP_013169336.1,122,DUF2304 domain-containing protein
chromosome,NC_014218.1,104168,105514,+,,,ARCH_RS00385,WP_013169337.1,448,glycosyltransferase family 39 protein
chromosome,NC_014218.1,105518,105877,-,,,ARCH_RS00390,WP_013169338.1,119,DUF2304 domain-containing protein
chromosome,NC_014218.1,105880,106593,-,,,ARCH_RS00395,WP_231957972.1,237,glycosyltransferase
chromosome,NC_014218.1,106734,108260,+,,,ARCH_RS00400,WP_013169340.1,508,DUF2142 domain-containing protein
chromosome,NC_014218.1,108237,109472,-,,,ARCH_RS00405,WP_013169341.1,411,integral membrane protein
chromosome,NC_014218.1,109526,110395,+,,,ARCH_RS00410,WP_013169342.1,289,glycosyltransferase
chromosome,NC_014218.1,110523,111524,+,,,ARCH_RS00415,WP_013169343.1,333,glycosyltransferase
chromosome,NC_014218.1,111539,112399,-,,,ARCH_RS00420,WP_013169344.1,286,LicD family protein
chromosome,NC_014218.1,112409,113356,-,,,ARCH_RS00425,WP_013169345.1,315,DMT family transporter
chromosome,NC_014218.1,113353,115164,-,,,ARCH_RS00430,WP_013169346.1,603,NTP transferase domain-containing protein
chromosome,NC_014218.1,115282,116376,-,,,ARCH_RS00435,WP_013169347.1,364,glycosyltransferase family 4 protein
chromosome,NC_014218.1,116590,117795,+,,,ARCH_RS00440,WP_231957971.1,401,polysaccharide biosynthesis protein
chromosome,NC_014218.1,117864,118712,-,,rfbD,ARCH_RS00445,WP_013169349.1,282,dTDP-4-dehydrorhamnose reductase
chromosome,NC_014218.1,119095,120411,-,,,ARCH_RS00450,WP_013169351.1,438,ATP-binding protein
chromosome,NC_014218.1,120519,121136,+,,,ARCH_RS00455,WP_013169352.1,205,"dTDP-4-dehydrorhamnose 3,5-epimerase"
chromosome,NC_014218.1,121279,121470,+,,,ARCH_RS09540,WP_197712422.1,63,AAA family ATPase
chromosome,NC_014218.1,121541,121822,+,,,ARCH_RS00460,WP_013170013.1,93,MULTISPECIES: transposase
chromosome,NC_014218.1,121876,122697,+,,,ARCH_RS00465,WP_013170014.1,273,IS3 family transposase
chromosome,NC_014218.1,122719,123090,+,,,ARCH_RS09545,WP_261974481.1,123,AAA family ATPase
chromosome,NC_014218.1,123087,123575,+,,,ARCH_RS00470,WP_049765780.1,162,ATP-binding protein
chromosome,NC_014218.1,123598,124464,-,,,ARCH_RS00475,WP_013169354.1,288,glycosyltransferase family 2 protein
chromosome,NC_014218.1,124464,125339,-,,rfbA,ARCH_RS00480,WP_013169355.1,291,glucose-1-phosphate thymidylyltransferase RfbA
chromosome,NC_014218.1,125425,126390,-,,,ARCH_RS00485,WP_041640262.1,321,DMT family transporter
chromosome,NC_014218.1,126513,127406,-,,,ARCH_RS09170,WP_049765781.1,297,hypothetical protein
chromosome,NC_014218.1,127597,128118,+,,,ARCH_RS00495,WP_041640264.1,173,peptidylprolyl isomerase
chromosome,NC_014218.1,128190,128768,+,,,ARCH_RS00500,WP_049765782.1,192,rhomboid family intramembrane serine protease
chromosome,NC_014218.1,128819,129091,-,,,ARCH_RS00505,WP_223804399.1,90,cell division protein CrgA
chromosome,NC_014218.1,129213,130154,+,,,ARCH_RS00510,WP_013169361.1,313,class E sortase
chromosome,NC_014218.1,130157,130312,+,,,ARCH_RS10035,WP_013169362.1,51,hypothetical protein
chromosome,NC_014218.1,130585,131784,-,,,ARCH_RS00520,WP_013169363.1,399,IS110 family transposase
chromosome,NC_014218.1,132085,133986,-,,pknB,ARCH_RS00525,WP_013169364.1,633,Stk1 family PASTA domain-containing Ser/Thr kinase
chromosome,NC_014218.1,134071,135516,-,,,ARCH_RS00530,WP_013169365.1,481,penicillin-binding transpeptidase domain-containing protein
