#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_013169725.1	644284.Arch_0479	1.76e-28	102.0	2DRA3@1|root,33AVR@2|Bacteria,2GQK2@201174|Actinobacteria,4D6HA@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bL32 family	rpmF	-	-	ko:K02911	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011,ko03029	-	-	-	Ribosomal_L32p
WP_013170184.1	644284.Arch_0966	8.1e-36	121.0	COG0291@1|root,COG0291@2|Bacteria,2GQZW@201174|Actinobacteria,4D6F8@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bL35 family	rpmI	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02916	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L35p
WP_013170278.1	644284.Arch_1070	7.29e-55	171.0	COG0211@1|root,COG0211@2|Bacteria,2IQDI@201174|Actinobacteria,4D67K@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bL27 family	rpmA	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0008150,GO:0015934,GO:0016020,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071944,GO:1990904	-	ko:K02899	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L27
WP_013170279.1	644284.Arch_1071	4.49e-61	188.0	COG0261@1|root,COG0261@2|Bacteria,2IQ9A@201174|Actinobacteria,4D6C2@85005|Actinomycetales	201174|Actinobacteria	J	This protein binds to 23S rRNA in the presence of protein L20	rplU	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044464,GO:0071944	-	ko:K02888	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L21p
WP_013170544.1	644284.Arch_1351	1.47e-20	81.3	COG0257@1|root,COG0257@2|Bacteria,2GWMH@201174|Actinobacteria,4D6P0@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	-	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
WP_013170545.1	644284.Arch_1352	4.46e-46	148.0	COG0361@1|root,COG0361@2|Bacteria,2IQ4B@201174|Actinobacteria,4D676@85005|Actinomycetales	201174|Actinobacteria	J	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex	infA	-	-	ko:K02518	-	-	-	-	ko00000,ko03012	-	-	-	eIF-1a
WP_013170563.1	644284.Arch_1370	4.9e-33	114.0	COG1841@1|root,COG1841@2|Bacteria,2GQV0@201174|Actinobacteria,4D6EB@85005|Actinomycetales	201174|Actinobacteria	J	50S ribosomal protein L30	rpmD	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008150,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02907	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L30
WP_013170571.1	644284.Arch_1378	1.8e-79	236.0	COG0093@1|root,COG0093@2|Bacteria,2IHNX@201174|Actinobacteria,4D5QH@85005|Actinomycetales	201174|Actinobacteria	J	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	rplN	GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0008150,GO:0015934,GO:0016020,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0070180,GO:0071944,GO:0097159,GO:1901363,GO:1990904	-	ko:K02874	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L14
WP_013170582.1	644284.Arch_1389	2.21e-66	201.0	COG0051@1|root,COG0051@2|Bacteria,2IHRA@201174|Actinobacteria,4D5QS@85005|Actinomycetales	201174|Actinobacteria	J	Involved in the binding of tRNA to the ribosomes	rpsJ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0019538,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02946	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S10
WP_013170586.1	644284.Arch_1393	5.11e-80	238.0	COG0048@1|root,COG0048@2|Bacteria,2IHUF@201174|Actinobacteria,4D5TR@85005|Actinomycetales	201174|Actinobacteria	J	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit	rpsL	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02950	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosom_S12_S23
WP_013170982.1	644284.Arch_1821	9.06e-21	82.4	COG0230@1|root,COG0230@2|Bacteria,2GQFY@201174|Actinobacteria,4D6Q0@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bL34 family	rpmH	-	-	ko:K02914	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L34
WP_091278578.1	644284.Arch_0362	3.29e-35	120.0	COG0636@1|root,COG0636@2|Bacteria,2GQI6@201174|Actinobacteria,4D6KF@85005|Actinomycetales	201174|Actinobacteria	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	atpE	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0008324,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015399,GO:0015405,GO:0015672,GO:0015985,GO:0015986,GO:0016020,GO:0016462,GO:0016469,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0032991,GO:0033177,GO:0034220,GO:0034641,GO:0034654,GO:0042623,GO:0042625,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044464,GO:0044769,GO:0045259,GO:0045263,GO:0046034,GO:0046390,GO:0046483,GO:0046933,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0099131,GO:0099132,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600	-	ko:K02110	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	ATP-synt_C
WP_091278637.1	644284.Arch_0336	8.28e-30	107.0	COG4877@1|root,COG4877@2|Bacteria,2GQV1@201174|Actinobacteria,4D6HE@85005|Actinomycetales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_091280476.1	644284.Arch_1287	2.13e-231	637.0	COG0039@1|root,COG0039@2|Bacteria,2GJHS@201174|Actinobacteria,4D4AF@85005|Actinomycetales	201174|Actinobacteria	C	Catalyzes the reversible oxidation of malate to oxaloacetate	mdh	GO:0003674,GO:0003824,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006107,GO:0006108,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009060,GO:0009117,GO:0009987,GO:0015980,GO:0016020,GO:0016491,GO:0016614,GO:0016615,GO:0016616,GO:0016999,GO:0017144,GO:0019362,GO:0019637,GO:0019674,GO:0019752,GO:0030060,GO:0030312,GO:0034641,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0046483,GO:0046496,GO:0051186,GO:0055086,GO:0055114,GO:0071704,GO:0071944,GO:0072350,GO:0072524,GO:1901360,GO:1901564	1.1.1.37	ko:K00024	ko00020,ko00270,ko00620,ko00630,ko00680,ko00710,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00270,map00620,map00630,map00680,map00710,map00720,map01100,map01110,map01120,map01130,map01200	M00009,M00011,M00012,M00168,M00173,M00346,M00374,M00620,M00740	R00342,R07136	RC00031	ko00000,ko00001,ko00002,ko01000	-	-	-	Ldh_1_C,Ldh_1_N
WP_091280872.1	644284.Arch_1101	6.22e-168	471.0	COG0179@1|root,COG0179@2|Bacteria,2GN2G@201174|Actinobacteria,4D3VT@85005|Actinomycetales	201174|Actinobacteria	Q	FAH family	fahA	-	-	-	-	-	-	-	-	-	-	-	DUF2437,FAA_hydrolase
WP_091280890.1	945712.CULC22_00038	2e-162	461.0	2DGC1@1|root,2ZB0H@2|Bacteria,2GNIG@201174|Actinobacteria,22Q5B@1653|Corynebacteriaceae	201174|Actinobacteria	M	phospholipase D activity	pld	-	-	-	-	-	-	-	-	-	-	-	-
WP_091280900.1	644284.Arch_1095	2.07e-153	433.0	COG1414@1|root,COG1414@2|Bacteria,2GKB0@201174|Actinobacteria,4D3ME@85005|Actinomycetales	201174|Actinobacteria	K	Transcriptional regulator, IclR family	ltbR	-	-	-	-	-	-	-	-	-	-	-	HTH_IclR,IclR
WP_091280916.1	644284.Arch_1086	8.11e-40	131.0	COG0227@1|root,COG0227@2|Bacteria,2GQNU@201174|Actinobacteria,4D6AF@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	GO:0003674,GO:0003735,GO:0005198	-	ko:K02902	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L28
