#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
chromosome,NZ_CP099547.1,1,1503,+,,dnaA,NG665_RS00005,WP_252673289.1,500,chromosomal replication initiator protein DnaA
chromosome,NZ_CP099547.1,1849,2967,+,,dnaN,NG665_RS00010,WP_252673290.1,372,DNA polymerase III subunit beta
chromosome,NZ_CP099547.1,2972,4246,+,,recF,NG665_RS00015,WP_252673291.1,424,DNA replication/repair protein RecF
chromosome,NZ_CP099547.1,4243,4917,+,,,NG665_RS00020,WP_252673292.1,224,DciA family protein
chromosome,NZ_CP099547.1,5145,7175,+,,gyrB,NG665_RS00025,WP_252674114.1,676,DNA topoisomerase (ATP-hydrolyzing) subunit B
chromosome,NZ_CP099547.1,7195,9774,+,,gyrA,NG665_RS00030,WP_252673293.1,859,DNA gyrase subunit A
chromosome,NZ_CP099547.1,9812,10246,+,,,NG665_RS00035,WP_252673294.1,144,DUF3566 domain-containing protein
chromosome,NZ_CP099547.1,10518,10637,+,,,NG665_RS00045,WP_252673295.1,39,DLW-39 family protein
chromosome,NZ_CP099547.1,11242,15975,+,,,NG665_RS00055,WP_252673296.1,1577,Ig-like domain-containing protein
chromosome,NZ_CP099547.1,16129,16701,+,,,NG665_RS00060,WP_252673297.1,190,GNAT family N-acetyltransferase
chromosome,NZ_CP099547.1,16703,17386,-,,,NG665_RS00065,WP_252673298.1,227,TetR/AcrR family transcriptional regulator
chromosome,NZ_CP099547.1,17505,20417,+,,,NG665_RS00070,WP_252673299.1,970,YhgE/Pip domain-containing protein
chromosome,NZ_CP099547.1,20473,21282,-,,,NG665_RS00075,WP_252673300.1,269,CAMP factor family pore-forming toxin
chromosome,NZ_CP099547.1,21636,23288,+,,,NG665_RS00080,WP_252674115.1,550,lactate permease LctP family transporter
chromosome,NZ_CP099547.1,23331,24119,+,,,NG665_RS00085,WP_252673301.1,262,(Fe-S)-binding protein
chromosome,NZ_CP099547.1,24119,25657,+,,,NG665_RS00090,WP_252673302.1,512,LutB/LldF family L-lactate oxidation iron-sulfur protein
chromosome,NZ_CP099547.1,25654,26304,+,,,NG665_RS00095,WP_252673303.1,216,LUD domain-containing protein
chromosome,NZ_CP099547.1,26475,28322,+,,,NG665_RS00100,WP_252673304.1,615,BCCT family transporter
chromosome,NZ_CP099547.1,28444,29442,+,,rarD,NG665_RS00105,WP_252673305.1,332,EamA family transporter RarD
chromosome,NZ_CP099547.1,29516,30454,+,,,NG665_RS00110,WP_252673306.1,312,carbohydrate kinase
chromosome,NZ_CP099547.1,30532,31791,-,,,NG665_RS00115,WP_252673307.1,419,AGE family epimerase/isomerase
chromosome,NZ_CP099547.1,31984,32331,+,,,NG665_RS00120,WP_252673308.1,115,hypothetical protein
chromosome,NZ_CP099547.1,32469,33995,-,,,NG665_RS00125,WP_252673309.1,508,M81 family metallopeptidase
chromosome,NZ_CP099547.1,34030,35265,-,,,NG665_RS00130,WP_252673310.1,411,ROK family transcriptional regulator
chromosome,NZ_CP099547.1,35409,37214,+,,,NG665_RS00135,WP_252673311.1,601,peptide ABC transporter substrate-binding protein
chromosome,NZ_CP099547.1,37334,38293,+,,,NG665_RS00140,WP_252673312.1,319,ABC transporter permease
chromosome,NZ_CP099547.1,38293,39156,+,,,NG665_RS00145,WP_252673313.1,287,ABC transporter permease
chromosome,NZ_CP099547.1,39165,41162,+,,,NG665_RS00150,WP_252673314.1,665,ABC transporter ATP-binding protein
chromosome,NZ_CP099547.1,41168,42073,+,,,NG665_RS00155,WP_252673315.1,301,ROK family protein
chromosome,NZ_CP099547.1,42067,43344,+,,,NG665_RS00160,WP_252673316.1,425,alpha-L-fucosidase
chromosome,NZ_CP099547.1,43416,44075,+,,,NG665_RS00165,WP_252673317.1,219,copper homeostasis protein CutC
chromosome,NZ_CP099547.1,44209,45471,-,,,NG665_RS00170,WP_252673318.1,420,DUF6287 domain-containing protein
