# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	1	1503	+					dnaA		NG665_RS00005	1503		old_locus_tag=NG665_00005
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	1	1503	+	WP_252673289.1	WP_252673289.1		chromosomal replication initiator protein DnaA	dnaA		NG665_RS00005	1503	500	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	1849	2967	+					dnaN		NG665_RS00010	1119		old_locus_tag=NG665_00010
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	1849	2967	+	WP_252673290.1	WP_252673290.1		DNA polymerase III subunit beta	dnaN		NG665_RS00010	1119	372	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	2972	4246	+					recF		NG665_RS00015	1275		old_locus_tag=NG665_00015
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	2972	4246	+	WP_252673291.1	WP_252673291.1		DNA replication/repair protein RecF	recF		NG665_RS00015	1275	424	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	4243	4917	+							NG665_RS00020	675		old_locus_tag=NG665_00020
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	4243	4917	+	WP_252673292.1	WP_252673292.1		DciA family protein			NG665_RS00020	675	224	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	5145	7175	+					gyrB		NG665_RS00025	2031		old_locus_tag=NG665_00025
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	5145	7175	+	WP_252674114.1	WP_252674114.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		NG665_RS00025	2031	676	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	7195	9774	+					gyrA		NG665_RS00030	2580		old_locus_tag=NG665_00030
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	7195	9774	+	WP_252673293.1	WP_252673293.1		DNA gyrase subunit A	gyrA		NG665_RS00030	2580	859	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	9812	10246	+							NG665_RS00035	435		old_locus_tag=NG665_00035
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	9812	10246	+	WP_252673294.1	WP_252673294.1		DUF3566 domain-containing protein			NG665_RS00035	435	144	
gene	tRNA	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	10422	10495	+							NG665_RS00040	74		old_locus_tag=NG665_00040
tRNA		GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	10422	10495	+				tRNA-Ile			NG665_RS00040	74		anticodon=GAT
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	10518	10637	+							NG665_RS00045	120		old_locus_tag=NG665_00045
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	10518	10637	+	WP_252673295.1	WP_252673295.1		DLW-39 family protein			NG665_RS00045	120	39	
gene	tRNA	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	10662	10734	+							NG665_RS00050	73		old_locus_tag=NG665_00050
tRNA		GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	10662	10734	+				tRNA-Ala			NG665_RS00050	73		anticodon=TGC
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	11242	15975	+							NG665_RS00055	4734		old_locus_tag=NG665_00055
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	11242	15975	+	WP_252673296.1	WP_252673296.1		Ig-like domain-containing protein			NG665_RS00055	4734	1577	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	16129	16701	+							NG665_RS00060	573		old_locus_tag=NG665_00060
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	16129	16701	+	WP_252673297.1	WP_252673297.1		GNAT family N-acetyltransferase			NG665_RS00060	573	190	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	16703	17386	-							NG665_RS00065	684		old_locus_tag=NG665_00065
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	16703	17386	-	WP_252673298.1	WP_252673298.1		TetR/AcrR family transcriptional regulator			NG665_RS00065	684	227	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	17505	20417	+							NG665_RS00070	2913		old_locus_tag=NG665_00070
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	17505	20417	+	WP_252673299.1	WP_252673299.1		YhgE/Pip domain-containing protein			NG665_RS00070	2913	970	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	20473	21282	-							NG665_RS00075	810		old_locus_tag=NG665_00075
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	20473	21282	-	WP_252673300.1	WP_252673300.1		CAMP factor family pore-forming toxin			NG665_RS00075	810	269	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	21636	23288	+							NG665_RS00080	1653		old_locus_tag=NG665_00080
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	21636	23288	+	WP_252674115.1	WP_252674115.1		lactate permease LctP family transporter			NG665_RS00080	1653	550	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	23331	24119	+							NG665_RS00085	789		old_locus_tag=NG665_00085
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	23331	24119	+	WP_252673301.1	WP_252673301.1		(Fe-S)-binding protein			NG665_RS00085	789	262	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	24119	25657	+							NG665_RS00090	1539		old_locus_tag=NG665_00090
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	24119	25657	+	WP_252673302.1	WP_252673302.1		LutB/LldF family L-lactate oxidation iron-sulfur protein			NG665_RS00090	1539	512	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	25654	26304	+							NG665_RS00095	651		old_locus_tag=NG665_00095
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	25654	26304	+	WP_252673303.1	WP_252673303.1		LUD domain-containing protein			NG665_RS00095	651	216	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	26475	28322	+							NG665_RS00100	1848		old_locus_tag=NG665_00100
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	26475	28322	+	WP_252673304.1	WP_252673304.1		BCCT family transporter			NG665_RS00100	1848	615	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	28444	29442	+					rarD		NG665_RS00105	999		old_locus_tag=NG665_00105
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	28444	29442	+	WP_252673305.1	WP_252673305.1		EamA family transporter RarD	rarD		NG665_RS00105	999	332	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	29516	30454	+							NG665_RS00110	939		old_locus_tag=NG665_00110
