#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
Un,NZ_LFUS01000001.1,55,2520,-,,,ACU19_RS00005,WP_049618658.1,821,bifunctional metallophosphatase/5\\'-nucleotidase
Un,NZ_LFUS01000001.1,2991,3287,-,,groES,ACU19_RS00010,WP_049618659.1,98,co-chaperone GroES
Un,NZ_LFUS01000001.1,3535,4578,-,,tsaD,ACU19_RS00015,WP_049618660.1,347,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
Un,NZ_LFUS01000001.1,4604,5314,-,,,ACU19_RS00020,WP_049618661.1,236,GNAT family N-acetyltransferase
Un,NZ_LFUS01000001.1,5298,6005,-,,tsaB,ACU19_RS00025,WP_049618662.1,235,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
Un,NZ_LFUS01000001.1,6006,6572,-,,tsaE,ACU19_RS00030,WP_049618663.1,188,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE
Un,NZ_LFUS01000001.1,6621,7907,-,,alr,ACU19_RS00035,WP_049618664.1,428,alanine racemase
Un,NZ_LFUS01000001.1,7891,9789,-,,,ACU19_RS00040,WP_082159889.1,632,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase
Un,NZ_LFUS01000001.1,9856,11709,-,,glmS,ACU19_RS00045,WP_049618665.1,617,glutamine--fructose-6-phosphate transaminase (isomerizing)
Un,NZ_LFUS01000001.1,11787,12731,+,,coaA,ACU19_RS00050,WP_049618666.1,314,type I pantothenate kinase
Un,NZ_LFUS01000001.1,12770,14119,-,,glmM,ACU19_RS00055,WP_049618667.1,449,phosphoglucosamine mutase
Un,NZ_LFUS01000001.1,14570,15058,-,,rpsI,ACU19_RS00060,WP_049618668.1,162,30S ribosomal protein S9
Un,NZ_LFUS01000001.1,15091,15534,-,,rplM,ACU19_RS00065,WP_049618669.1,147,50S ribosomal protein L13
Un,NZ_LFUS01000001.1,15934,16929,-,,,ACU19_RS00070,WP_049618670.1,331,tRNA pseudouridine synthase A
Un,NZ_LFUS01000001.1,16928,17758,+,,,ACU19_RS00075,WP_049618671.1,276,ROK family protein
Un,NZ_LFUS01000001.1,18123,18698,-,,rplQ,ACU19_RS00080,WP_049618672.1,191,50S ribosomal protein L17
Un,NZ_LFUS01000001.1,18735,19724,-,,,ACU19_RS00085,WP_049618673.1,329,DNA-directed RNA polymerase subunit alpha
Un,NZ_LFUS01000001.1,19971,20369,-,,rpsK,ACU19_RS00090,WP_049618674.1,132,30S ribosomal protein S11
Un,NZ_LFUS01000001.1,20412,20783,-,,rpsM,ACU19_RS00095,WP_049618675.1,123,30S ribosomal protein S13
Un,NZ_LFUS01000001.1,20905,21024,-,,rpmJ,ACU19_RS09795,WP_074661360.1,39,50S ribosomal protein L36
Un,NZ_LFUS01000001.1,21043,21264,-,,infA,ACU19_RS00100,WP_049618676.1,73,translation initiation factor IF-1
Un,NZ_LFUS01000001.1,21509,22348,-,,map,ACU19_RS00105,WP_049618677.1,279,type I methionyl aminopeptidase
Un,NZ_LFUS01000001.1,22601,23173,-,,,ACU19_RS00110,WP_049618678.1,190,adenylate kinase
Un,NZ_LFUS01000001.1,23290,24594,-,,secY,ACU19_RS00115,WP_049618679.1,434,preprotein translocase subunit SecY
Un,NZ_LFUS01000001.1,25024,25503,-,,rplO,ACU19_RS00120,WP_049618680.1,159,50S ribosomal protein L15
Un,NZ_LFUS01000001.1,25506,25685,-,,rpmD,ACU19_RS00125,WP_049618681.1,59,50S ribosomal protein L30
Un,NZ_LFUS01000001.1,25685,26392,-,,rpsE,ACU19_RS00130,WP_049618682.1,235,30S ribosomal protein S5
Un,NZ_LFUS01000001.1,26415,26786,-,,rplR,ACU19_RS00135,WP_049618683.1,123,50S ribosomal protein L18
Un,NZ_LFUS01000001.1,26786,27322,-,,rplF,ACU19_RS00140,WP_049618684.1,178,50S ribosomal protein L6
Un,NZ_LFUS01000001.1,27338,27736,-,,rpsH,ACU19_RS00145,WP_049618685.1,132,30S ribosomal protein S8
Un,NZ_LFUS01000001.1,27795,27980,-,,,ACU19_RS09800,WP_074661381.1,61,type Z 30S ribosomal protein S14
Un,NZ_LFUS01000001.1,27987,28532,-,,rplE,ACU19_RS00150,WP_049618686.1,181,50S ribosomal protein L5
Un,NZ_LFUS01000001.1,28529,28873,-,,rplX,ACU19_RS00155,WP_049618687.1,114,50S ribosomal protein L24
Un,NZ_LFUS01000001.1,28874,29242,-,,rplN,ACU19_RS00160,WP_049618688.1,122,50S ribosomal protein L14
Un,NZ_LFUS01000001.1,29352,29618,-,,rpsQ,ACU19_RS00165,WP_049618689.1,88,30S ribosomal protein S17
Un,NZ_LFUS01000001.1,29627,29857,-,,rpmC,ACU19_RS00170,WP_049618690.1,76,50S ribosomal protein L29
Un,NZ_LFUS01000001.1,29857,30273,-,,rplP,ACU19_RS00175,WP_049618691.1,138,50S ribosomal protein L16
Un,NZ_LFUS01000001.1,30277,31122,-,,rpsC,ACU19_RS00180,WP_049618692.1,281,30S ribosomal protein S3
Un,NZ_LFUS01000001.1,31122,31514,-,,rplV,ACU19_RS00185,WP_049618693.1,130,50S ribosomal protein L22
Un,NZ_LFUS01000001.1,31543,31824,-,,rpsS,ACU19_RS00190,WP_049618694.1,93,30S ribosomal protein S19
Un,NZ_LFUS01000001.1,31839,32675,-,,rplB,ACU19_RS00195,WP_049618695.1,278,50S ribosomal protein L2
Un,NZ_LFUS01000001.1,32707,33012,-,,rplW,ACU19_RS00200,WP_049618696.1,101,50S ribosomal protein L23
Un,NZ_LFUS01000001.1,33012,33656,-,,rplD,ACU19_RS00205,WP_049618697.1,214,50S ribosomal protein L4
Un,NZ_LFUS01000001.1,33660,34325,-,,rplC,ACU19_RS00210,WP_049618698.1,221,50S ribosomal protein L3
Un,NZ_LFUS01000001.1,34338,34646,-,,rpsJ,ACU19_RS00215,WP_049618699.1,102,30S ribosomal protein S10
Un,NZ_LFUS01000001.1,34969,36159,-,,tuf,ACU19_RS00220,WP_049618700.1,396,elongation factor Tu
Un,NZ_LFUS01000001.1,36268,38343,-,,fusA,ACU19_RS00225,WP_049618716.1,691,elongation factor G
Un,NZ_LFUS01000001.1,38450,38920,-,,rpsG,ACU19_RS00230,WP_049618701.1,156,30S ribosomal protein S7
Un,NZ_LFUS01000001.1,38923,39294,-,,rpsL,ACU19_RS00235,WP_049618702.1,123,30S ribosomal protein S12
Un,NZ_LFUS01000001.1,39560,43573,-,,rpoC,ACU19_RS00240,WP_049618703.1,1337,DNA-directed RNA polymerase subunit beta\\'
Un,NZ_LFUS01000001.1,43668,47162,-,,rpoB,ACU19_RS00245,WP_049618704.1,1164,DNA-directed RNA polymerase subunit beta
Un,NZ_LFUS01000001.1,47599,47985,-,,rplL,ACU19_RS00250,WP_049618705.1,128,50S ribosomal protein L7/L12
Un,NZ_LFUS01000001.1,48077,48607,-,,rplJ,ACU19_RS00255,WP_049618706.1,176,50S ribosomal protein L10
Un,NZ_LFUS01000001.1,49048,50421,-,,,ACU19_RS00260,WP_049618707.1,457,glycosyltransferase family 39 protein
Un,NZ_LFUS01000001.1,50714,51415,-,,rplA,ACU19_RS00265,WP_049618708.1,233,50S ribosomal protein L1
Un,NZ_LFUS01000001.1,51521,51955,-,,rplK,ACU19_RS00270,WP_049618709.1,144,50S ribosomal protein L11
Un,NZ_LFUS01000001.1,52094,53098,-,,nusG,ACU19_RS00275,WP_049618710.1,334,transcription termination/antitermination protein NusG
Un,NZ_LFUS01000001.1,53125,53361,-,,secE,ACU19_RS00280,WP_049618717.1,78,preprotein translocase subunit SecE
Un,NZ_LFUS01000001.1,53930,55147,+,,,ACU19_RS00290,WP_049618711.1,405,pyridoxal phosphate-dependent aminotransferase
Un,NZ_LFUS01000001.1,55174,56658,-,,,ACU19_RS00295,WP_049618712.1,494,phosphotransferase
Un,NZ_LFUS01000001.1,57087,58349,-,,,ACU19_RS00300,WP_049618713.1,420,hypothetical protein
Un,NZ_LFUS01000001.1,58370,59248,-,,,ACU19_RS00305,WP_049618714.1,292,C39 family peptidase
Un,NZ_LFUS01000010.1,850,3930,+,,adhE,ACU19_RS01375,WP_231583030.1,1026,bifunctional acetaldehyde-CoA/alcohol dehydrogenase
Un,NZ_LFUS01000010.1,4070,4765,+,,,ACU19_RS01380,WP_049618925.1,231,FadR family transcriptional regulator
Un,NZ_LFUS01000010.1,5030,6460,+,,,ACU19_RS01385,WP_049618926.1,476,hypothetical protein
Un,NZ_LFUS01000010.1,6518,7402,+,,,ACU19_RS01390,WP_049618927.1,294,NAD(P)-dependent oxidoreductase
Un,NZ_LFUS01000010.1,7478,8878,+,,,ACU19_RS01395,WP_231583032.1,466,transporter
Un,NZ_LFUS01000010.1,9052,11880,-,,,ACU19_RS10505,WP_197077773.1,942,glycoside hydrolase family 3 C-terminal domain-containing protein
Un,NZ_LFUS01000010.1,12302,13495,-,,,ACU19_RS01405,WP_049618929.1,397,sugar ABC transporter permease
Un,NZ_LFUS01000010.1,13492,15051,-,,,ACU19_RS01410,WP_049618930.1,519,ATP-binding cassette domain-containing protein
Un,NZ_LFUS01000010.1,15233,16216,-,,,ACU19_RS01415,WP_231583031.1,327,sugar-binding protein
Un,NZ_LFUS01000010.1,17023,18366,+,,xylA,ACU19_RS01420,WP_049618932.1,447,xylose isomerase
Un,NZ_LFUS01000010.1,22666,23574,-,,,ACU19_RS01435,WP_082159926.1,302,sugar kinase
Un,NZ_LFUS01000010.1,23648,24262,-,,,ACU19_RS01440,WP_049618935.1,204,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
Un,NZ_LFUS01000010.1,24333,25895,-,,,ACU19_RS01445,WP_049618936.1,520,tripartite tricarboxylate transporter permease
Un,NZ_LFUS01000010.1,25902,26486,-,,,ACU19_RS01450,WP_049618937.1,194,tripartite tricarboxylate transporter TctB family protein
Un,NZ_LFUS01000010.1,26552,27589,-,,,ACU19_RS01455,WP_141670191.1,345,tripartite tricarboxylate transporter substrate binding protein
Un,NZ_LFUS01000010.1,27837,28769,+,,,ACU19_RS01460,WP_049618939.1,310,LysR family transcriptional regulator
Un,NZ_LFUS01000010.1,28951,29232,+,,,ACU19_RS01465,WP_049618940.1,93,transposase
Un,NZ_LFUS01000010.1,29274,29948,+,,,ACU19_RS01470,WP_156181298.1,224,DDE-type integrase/transposase/recombinase
Un,NZ_LFUS01000011.1,1,590,+,,,ACU19_RS01475,WP_049618945.1,195,"gamma-glutamylcyclotransferase, partial"
Un,NZ_LFUS01000011.1,720,1631,+,,,ACU19_RS01480,WP_049618946.1,303,hypothetical protein
Un,NZ_LFUS01000011.1,1911,3077,+,,,ACU19_RS01485,WP_049618947.1,388,nucleotide sugar dehydrogenase
Un,NZ_LFUS01000011.1,3101,3937,-,,,ACU19_RS01490,WP_049618948.1,278,glycosyltransferase family 2 protein
