query_id	subject_id	pct_identity	aln_length	n_of_mismatches	number_gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score	query_length	query_coverage	subject_length
lcl|NC_014218.1_cds_27	lcl|NZ_CP053291.1_cds_188	72.986	1440	371	17	181	1611	103	1533	2.56e-138	488	1623	88	1533
lcl|NC_014218.1_cds_WP_013169311.1_46	lcl|NZ_CP053291.1_cds_WP_193326530.1_1783	71.560	763	197	19	112	864	115	867	1.53e-48	189	864	87	867
lcl|NC_014218.1_cds_WP_013170014.1_91	lcl|NZ_CP053291.1_cds_WP_255313958.1_1178	98.783	822	10	0	1	822	58	879	0.0	1463	822	100	879
lcl|NC_014218.1_cds_WP_013169363.1_103	lcl|NZ_CP053291.1_cds_WP_193326143.1_1346	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169363.1_103	lcl|NZ_CP053291.1_cds_WP_193326143.1_611	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169363.1_103	lcl|NZ_CP053291.1_cds_WP_193326143.1_303	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169367.1_107	lcl|NZ_CP053291.1_cds_WP_193326629.1_1890	70.872	539	137	17	31	559	34	562	6.79e-24	108	1320	40	1332
lcl|NC_014218.1_cds_WP_013169422.1_163	lcl|NZ_CP053291.1_cds_WP_193326825.1_97	79.170	1181	232	11	106	1279	112	1285	0.0	806	1290	91	1299
lcl|NC_014218.1_cds_WP_013169451.1_194	lcl|NZ_CP053291.1_cds_WP_193326430.1_1670	78.854	960	187	15	57	1008	57	1008	0.0	634	1023	93	1023
lcl|NC_014218.1_cds_WP_013169455.1_198	lcl|NZ_CP053291.1_cds_WP_193326566.1_1821	78.082	292	56	6	490	777	517	804	3.50e-45	178	912	32	939
lcl|NC_014218.1_cds_WP_013169459.1_202	lcl|NZ_CP053291.1_cds_WP_193326427.1_1666	79.059	1743	336	23	70	1790	73	1808	0.0	1170	1851	93	1872
lcl|NC_014218.1_cds_WP_138974965.1_230	lcl|NZ_CP053291.1_cds_WP_193327820.1_2005	93.985	133	8	0	1518	1650	1695	1827	3.80e-52	202	1650	8	1827
lcl|NC_014218.1_cds_WP_197712421.1_231	lcl|NZ_CP053291.1_cds_WP_193326730.1_2006	92.119	977	75	2	3	978	24	999	0.0	1376	978	99	999
