#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
chromosome,NZ_CP070228.1,1,1554,+,,dnaA,JTE88_RS00005,WP_204424495.1,517,chromosomal replication initiator protein DnaA
chromosome,NZ_CP070228.1,1900,3018,+,,dnaN,JTE88_RS00010,WP_204424496.1,372,DNA polymerase III subunit beta
chromosome,NZ_CP070228.1,3023,4330,+,,recF,JTE88_RS00015,WP_204424498.1,435,DNA replication/repair protein RecF
chromosome,NZ_CP070228.1,4327,4968,+,,,JTE88_RS00020,WP_204424500.1,213,DciA family protein
chromosome,NZ_CP070228.1,5412,7445,+,,gyrB,JTE88_RS00025,WP_204425665.1,677,DNA topoisomerase (ATP-hydrolyzing) subunit B
chromosome,NZ_CP070228.1,7468,10065,+,,gyrA,JTE88_RS00030,WP_204424501.1,865,DNA gyrase subunit A
chromosome,NZ_CP070228.1,10106,10543,+,,,JTE88_RS00035,WP_204424503.1,145,DUF3566 domain-containing protein
chromosome,NZ_CP070228.1,10771,10890,+,,,JTE88_RS09005,WP_239519520.1,39,DLW-39 family protein
chromosome,NZ_CP070228.1,13005,17609,+,,,JTE88_RS00060,WP_204424506.1,1534,DUF4982 domain-containing protein
chromosome,NZ_CP070228.1,17798,18370,+,,,JTE88_RS00065,WP_204424508.1,190,GNAT family N-acetyltransferase
chromosome,NZ_CP070228.1,18374,19063,-,,,JTE88_RS00070,WP_204424509.1,229,TetR/AcrR family transcriptional regulator
chromosome,NZ_CP070228.1,19182,22106,+,,,JTE88_RS00075,WP_204424510.1,974,YhgE/Pip domain-containing protein
chromosome,NZ_CP070228.1,22170,22985,-,,,JTE88_RS00080,WP_204424512.1,271,MULTISPECIES: CAMP factor family pore-forming toxin
chromosome,NZ_CP070228.1,23334,24992,+,,,JTE88_RS00085,WP_204424513.1,552,MULTISPECIES: lactate permease LctP family transporter
chromosome,NZ_CP070228.1,25034,25822,+,,,JTE88_RS00090,WP_204424514.1,262,(Fe-S)-binding protein
chromosome,NZ_CP070228.1,25849,27345,+,,,JTE88_RS00095,WP_239519596.1,498,LutB/LldF family L-lactate oxidation iron-sulfur protein
chromosome,NZ_CP070228.1,27342,27992,+,,,JTE88_RS00100,WP_204424518.1,216,lactate utilization protein C
chromosome,NZ_CP070228.1,28133,29830,+,,,JTE88_RS00105,WP_204424520.1,565,bifunctional metallophosphatase/5\\'-nucleotidase
chromosome,NZ_CP070228.1,30028,32334,+,,,JTE88_RS00110,WP_204424522.1,768,exo-alpha-sialidase
chromosome,NZ_CP070228.1,32476,34311,+,,,JTE88_RS00115,WP_204424524.1,611,BCCT family transporter
chromosome,NZ_CP070228.1,34447,35445,+,,rarD,JTE88_RS00120,WP_204424525.1,332,MULTISPECIES: EamA family transporter RarD
chromosome,NZ_CP070228.1,35553,37997,+,,,JTE88_RS00125,WP_204424527.1,814,VWA domain-containing protein
chromosome,NZ_CP070228.1,38074,39261,-,,,JTE88_RS00130,WP_204424528.1,395,MULTISPECIES: hypothetical protein
chromosome,NZ_CP070228.1,39264,42293,-,,,JTE88_RS00135,WP_204424529.1,1009,alpha-mannosidase
chromosome,NZ_CP070228.1,42465,43496,+,,,JTE88_RS00140,WP_204424531.1,343,LacI family transcriptional regulator
chromosome,NZ_CP070228.1,43493,44425,+,,,JTE88_RS00145,WP_204424533.1,310,carbohydrate kinase
chromosome,NZ_CP070228.1,44493,45767,-,,,JTE88_RS00150,WP_204424534.1,424,AGE family epimerase/isomerase
chromosome,NZ_CP070228.1,45984,46325,+,,,JTE88_RS00155,WP_204424536.1,113,hypothetical protein
chromosome,NZ_CP070228.1,46413,47153,-,,,JTE88_RS00160,WP_204424538.1,246,TSUP family transporter
chromosome,NZ_CP070228.1,47342,48475,+,,,JTE88_RS00165,WP_239519521.1,377,zinc-binding dehydrogenase
chromosome,NZ_CP070228.1,48671,49870,+,,,JTE88_RS00170,WP_204424539.1,399,Gfo/Idh/MocA family oxidoreductase
chromosome,NZ_CP070228.1,50042,51646,+,,,JTE88_RS00175,WP_239519597.1,534,MFS transporter
chromosome,NZ_CP070228.1,51745,52020,-,,,JTE88_RS00180,WP_204424542.1,91,hypothetical protein
chromosome,NZ_CP070228.1,52521,53381,-,,,JTE88_RS00185,WP_204424544.1,286,TIM barrel protein
chromosome,NZ_CP070228.1,53429,54415,-,,iolG,JTE88_RS00190,WP_204424545.1,328,inositol 2-dehydrogenase
chromosome,NZ_CP070228.1,54450,55529,-,,,JTE88_RS00195,WP_204424547.1,359,transaldolase
chromosome,NZ_CP070228.1,55732,56508,-,,,JTE88_RS00200,WP_204424549.1,258,GntR family transcriptional regulator
chromosome,NZ_CP070228.1,56687,57676,+,,iolC,JTE88_RS00205,WP_204424551.1,329,5-dehydro-2-deoxygluconokinase
chromosome,NZ_CP070228.1,57673,58539,+,,,JTE88_RS00210,WP_204424552.1,288,deoxyribose-phosphate aldolase
chromosome,NZ_CP070228.1,58536,59432,+,,iolB,JTE88_RS00215,WP_204424554.1,298,5-deoxy-glucuronate isomerase
chromosome,NZ_CP070228.1,59429,61318,+,,iolD,JTE88_RS00220,WP_204424556.1,629,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)"
chromosome,NZ_CP070228.1,61511,63004,+,,,JTE88_RS00225,WP_204425668.1,497,CoA-acylating methylmalonate-semialdehyde dehydrogenase
chromosome,NZ_CP070228.1,63085,64611,-,,,JTE88_RS00230,WP_204424557.1,508,M81 family metallopeptidase
chromosome,NZ_CP070228.1,64645,65748,-,,,JTE88_RS00235,WP_239519522.1,367,ROK family protein
chromosome,NZ_CP070228.1,66021,67826,+,,,JTE88_RS00240,WP_204424561.1,601,peptide ABC transporter substrate-binding protein
chromosome,NZ_CP070228.1,67926,68885,+,,,JTE88_RS00245,WP_204424563.1,319,ABC transporter permease
chromosome,NZ_CP070228.1,68885,69748,+,,,JTE88_RS00250,WP_204424564.1,287,ABC transporter permease
chromosome,NZ_CP070228.1,69757,71757,+,,,JTE88_RS00255,WP_204424566.1,666,ABC transporter ATP-binding protein
chromosome,NZ_CP070228.1,71763,72668,+,,,JTE88_RS00260,WP_204424569.1,301,ROK family protein
chromosome,NZ_CP070228.1,72662,73939,+,,,JTE88_RS00265,WP_204424571.1,425,alpha-L-fucosidase
chromosome,NZ_CP070228.1,73978,74637,+,,,JTE88_RS00270,WP_204424572.1,219,copper homeostasis protein CutC
chromosome,NZ_CP070228.1,75411,76295,+,,,JTE88_RS00275,WP_239519523.1,294,glycosyltransferase
chromosome,NZ_CP070228.1,76444,77187,+,,,JTE88_RS00280,WP_204425669.1,247,glycerophosphodiester phosphodiesterase family protein
chromosome,NZ_CP070228.1,77325,78704,+,,,JTE88_RS00285,WP_204424576.1,459,MFS transporter
