# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	276	1001	+							HLG82_RS00005	726		old_locus_tag=HLG82_00005
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	276	1001	+	WP_193326740.1	WP_193326740.1		hypothetical protein			HLG82_RS00005	726	241	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	998	1369	+							HLG82_RS00010	372		old_locus_tag=HLG82_00010
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	998	1369	+	WP_193326741.1	WP_193326741.1		YccF domain-containing protein			HLG82_RS00010	372	123	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	1505	2713	-							HLG82_RS00015	1209		old_locus_tag=HLG82_00015
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	1505	2713	-	WP_193326742.1	WP_193326742.1		alpha-amylase family protein			HLG82_RS00015	1209	402	
gene	tRNA	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	3170	3243	-							HLG82_RS00020	74		old_locus_tag=HLG82_00020
tRNA		GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	3170	3243	-				tRNA-Pro			HLG82_RS00020	74		anticodon=CGG
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	3467	4579	-							HLG82_RS00025	1113		old_locus_tag=HLG82_00025
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	3467	4579	-	WP_216858944.1	WP_216858944.1		metallophosphoesterase			HLG82_RS00025	1113	370	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	4665	7064	-							HLG82_RS00030	2400		old_locus_tag=HLG82_00030
