# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	55	2520	-							ACU19_RS00005	2466		old_locus_tag=ACU19_00005
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	55	2520	-	WP_049618658.1	WP_049618658.1		bifunctional metallophosphatase/5'-nucleotidase			ACU19_RS00005	2466	821	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	2991	3287	-					groES		ACU19_RS00010	297		old_locus_tag=ACU19_00010
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	2991	3287	-	WP_049618659.1	WP_049618659.1		co-chaperone GroES	groES		ACU19_RS00010	297	98	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	3535	4578	-					tsaD		ACU19_RS00015	1044		old_locus_tag=ACU19_00015
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	3535	4578	-	WP_049618660.1	WP_049618660.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	tsaD		ACU19_RS00015	1044	347	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	4604	5314	-							ACU19_RS00020	711		
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	4604	5314	-	WP_049618661.1	WP_049618661.1		GNAT family N-acetyltransferase			ACU19_RS00020	711	236	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	5298	6005	-					tsaB		ACU19_RS00025	708		old_locus_tag=ACU19_00025
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	5298	6005	-	WP_049618662.1	WP_049618662.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB		ACU19_RS00025	708	235	
