# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	1	1554	+					dnaA		JTE88_RS00005	1554		old_locus_tag=JTE88_00005
CDS	with_protein	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	1	1554	+	WP_204424495.1	WP_204424495.1		chromosomal replication initiator protein DnaA	dnaA		JTE88_RS00005	1554	517	
gene	protein_coding	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	1900	3018	+					dnaN		JTE88_RS00010	1119		old_locus_tag=JTE88_00010
CDS	with_protein	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	1900	3018	+	WP_204424496.1	WP_204424496.1		DNA polymerase III subunit beta	dnaN		JTE88_RS00010	1119	372	
gene	protein_coding	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	3023	4330	+					recF		JTE88_RS00015	1308		old_locus_tag=JTE88_00015
CDS	with_protein	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	3023	4330	+	WP_204424498.1	WP_204424498.1		DNA replication/repair protein RecF	recF		JTE88_RS00015	1308	435	
gene	protein_coding	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	4327	4968	+							JTE88_RS00020	642		old_locus_tag=JTE88_00020
CDS	with_protein	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	4327	4968	+	WP_204424500.1	WP_204424500.1		DciA family protein			JTE88_RS00020	642	213	
gene	protein_coding	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	5412	7445	+					gyrB		JTE88_RS00025	2034		old_locus_tag=JTE88_00025
CDS	with_protein	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	5412	7445	+	WP_204425665.1	WP_204425665.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		JTE88_RS00025	2034	677	
gene	protein_coding	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	7468	10065	+					gyrA		JTE88_RS00030	2598		old_locus_tag=JTE88_00030
CDS	with_protein	GCF_016904675.1	Primary Assembly	chromosome		NZ_CP070228.1	7468	10065	+	WP_204424501.1	WP_204424501.1		DNA gyrase subunit A	gyrA		JTE88_RS00030	2598	865	
