# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	116	1711	+					dnaA		ARCH_RS00010	1596		old_locus_tag=Arch_0001
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	116	1711	+	WP_041640490.1	WP_041640490.1		chromosomal replication initiator protein DnaA	dnaA		ARCH_RS00010	1596	531	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	2071	3189	+					dnaN		ARCH_RS00015	1119		old_locus_tag=Arch_0002
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	2071	3189	+	WP_013169268.1	WP_013169268.1		DNA polymerase III subunit beta	dnaN		ARCH_RS00015	1119	372	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	3195	4427	+					recF		ARCH_RS00020	1233		old_locus_tag=Arch_0003
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	3195	4427	+	WP_013169269.1	WP_013169269.1		DNA replication/repair protein RecF	recF		ARCH_RS00020	1233	410	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	4424	5008	+							ARCH_RS00025	585		old_locus_tag=Arch_0004
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	4424	5008	+	WP_013169270.1	WP_013169270.1		DciA family protein			ARCH_RS00025	585	194	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	5191	7239	+					gyrB		ARCH_RS00030	2049		old_locus_tag=Arch_0005
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	5191	7239	+	WP_013169271.1	WP_013169271.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		ARCH_RS00030	2049	682	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	7264	9828	+					gyrA		ARCH_RS00035	2565		old_locus_tag=Arch_0006
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	7264	9828	+	WP_013169272.1	WP_013169272.1		DNA gyrase subunit A	gyrA		ARCH_RS00035	2565	854	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	9864	10298	+							ARCH_RS00040	435		old_locus_tag=Arch_0007
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	9864	10298	+	WP_013169273.1	WP_013169273.1		DUF3566 domain-containing protein			ARCH_RS00040	435	144	
gene	tRNA	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	10504	10577	+							ARCH_RS00045	74		old_locus_tag=Arch_R0001
tRNA		GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	10504	10577	+				tRNA-Ile			ARCH_RS00045	74		anticodon=GAT
gene	tRNA	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	10740	10812	+							ARCH_RS00050	73		old_locus_tag=Arch_R0002
tRNA		GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	10740	10812	+				tRNA-Ala			ARCH_RS00050	73		anticodon=TGC
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	11373	13109	-							ARCH_RS00055	1737		old_locus_tag=Arch_0009
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	11373	13109	-	WP_013169275.1	WP_013169275.1		putative DNA binding domain-containing protein			ARCH_RS00055	1737	578	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	13363	16311	-							ARCH_RS09155	2949		old_locus_tag=Arch_0010
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	13363	16311	-	WP_013169276.1	WP_013169276.1		discoidin domain-containing protein			ARCH_RS09155	2949	982	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	16863	18680	+							ARCH_RS00065	1818		old_locus_tag=Arch_0011
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	16863	18680	+	WP_013169277.1	WP_013169277.1		LTA synthase family protein			ARCH_RS00065	1818	605	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	18755	19846	-							ARCH_RS00070	1092		old_locus_tag=Arch_0012
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	18755	19846	-	WP_041640240.1	WP_041640240.1		aminoglycoside phosphotransferase family protein			ARCH_RS00070	1092	363	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	19831	21987	-					gnpA		ARCH_RS00075	2157		old_locus_tag=Arch_0013
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	19831	21987	-	WP_041640242.1	WP_041640242.1		1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	gnpA		ARCH_RS00075	2157	718	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	22246	23418	+							ARCH_RS00080	1173		old_locus_tag=Arch_0014
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	22246	23418	+	WP_013169280.1	WP_013169280.1		ROK family transcriptional regulator			ARCH_RS00080	1173	390	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	23405	24640	-							ARCH_RS00085	1236		old_locus_tag=Arch_0015
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	23405	24640	-	WP_041640244.1	WP_041640244.1		sodium:glutamate symporter			ARCH_RS00085	1236	411	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	24767	25372	+							ARCH_RS09160	606		old_locus_tag=Arch_0016
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	24767	25372	+	WP_013169282.1	WP_013169282.1		GNAT family N-acetyltransferase			ARCH_RS09160	606	201	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	25350	26057	-							ARCH_RS00095	708		old_locus_tag=Arch_0017
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	25350	26057	-	WP_013169283.1	WP_013169283.1		TetR/AcrR family transcriptional regulator			ARCH_RS00095	708	235	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	26177	29101	+							ARCH_RS00100	2925		old_locus_tag=Arch_0018
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	26177	29101	+	WP_013169284.1	WP_013169284.1		YhgE/Pip domain-containing protein			ARCH_RS00100	2925	974	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	29323	30975	+							ARCH_RS00105	1653		old_locus_tag=Arch_0019
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	29323	30975	+	WP_187286518.1	WP_187286518.1		lactate permease LctP family transporter			ARCH_RS00105	1653	550	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	31039	31827	+							ARCH_RS00110	789		old_locus_tag=Arch_0020
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	31039	31827	+	WP_013169286.1	WP_013169286.1		(Fe-S)-binding protein			ARCH_RS00110	789	262	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	31827	33353	+							ARCH_RS00115	1527		old_locus_tag=Arch_0021
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	31827	33353	+	WP_013169287.1	WP_013169287.1		LutB/LldF family L-lactate oxidation iron-sulfur protein			ARCH_RS00115	1527	508	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	33374	34003	+							ARCH_RS00120	630		old_locus_tag=Arch_0022
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	33374	34003	+	WP_041640501.1	WP_041640501.1		LUD domain-containing protein			ARCH_RS00120	630	209	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	34768	37215	+							ARCH_RS00125	2448		old_locus_tag=Arch_0023
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	34768	37215	+	WP_231958047.1	WP_231958047.1		choice-of-anchor K domain-containing protein			ARCH_RS00125	2448	815	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	37240	38715	+							ARCH_RS00130	1476		old_locus_tag=Arch_0024
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	37240	38715	+	WP_013169290.1	WP_013169290.1		SpaH/EbpB family LPXTG-anchored major pilin			ARCH_RS00130	1476	491	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	38911	40626	+							ARCH_RS00135	1716		old_locus_tag=Arch_0025
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	38911	40626	+	WP_013169291.1	WP_013169291.1		5'-nucleotidase C-terminal domain-containing protein			ARCH_RS00135	1716	571	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	40803	43460	+							ARCH_RS09165	2658		old_locus_tag=Arch_0026
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	40803	43460	+	WP_013169292.1	WP_013169292.1		exo-alpha-sialidase			ARCH_RS09165	2658	885	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	43596	43865	+							ARCH_RS09825	270		old_locus_tag=Arch_0027
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	43596	43865	+	WP_145961595.1	WP_145961595.1		hypothetical protein			ARCH_RS09825	270	89	
gene	pseudogene	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	44201	45823	+							ARCH_RS00145	1623		partial;pseudo;old_locus_tag=Arch_0028
CDS	without_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	44201	45823	+				BCCT family transporter			ARCH_RS00145	1623		partial;pseudo
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	46249	47247	+					rarD		ARCH_RS00150	999		old_locus_tag=Arch_0029
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	46249	47247	+	WP_013169294.1	WP_013169294.1		EamA family transporter RarD	rarD		ARCH_RS00150	999	332	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	47510	49942	+							ARCH_RS00155	2433		old_locus_tag=Arch_0030
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	47510	49942	+	WP_041640246.1	WP_041640246.1		SpaA isopeptide-forming pilin-related protein			ARCH_RS00155	2433	810	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	49953	50138	+							ARCH_RS00160	186		
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	49953	50138	+	WP_041640248.1	WP_041640248.1		LPXTG cell wall anchor domain-containing protein			ARCH_RS00160	186	61	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	50172	51638	+							ARCH_RS00165	1467		old_locus_tag=Arch_0031
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	50172	51638	+	WP_013169296.1	WP_013169296.1		SpaH/EbpB family LPXTG-anchored major pilin			ARCH_RS00165	1467	488	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	51741	52616	+							ARCH_RS00170	876		old_locus_tag=Arch_0032
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	51741	52616	+	WP_013169297.1	WP_013169297.1		class C sortase			ARCH_RS00170	876	291	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	52741	53979	-							ARCH_RS00175	1239		old_locus_tag=Arch_0033
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	52741	53979	-	WP_013169298.1	WP_013169298.1		cellulase family glycosylhydrolase			ARCH_RS00175	1239	412	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	53976	56999	-							ARCH_RS00180	3024		old_locus_tag=Arch_0034
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	53976	56999	-	WP_041640250.1	WP_041640250.1		glycosyl hydrolase-related protein			ARCH_RS00180	3024	1007	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	57174	58202	+							ARCH_RS00185	1029		old_locus_tag=Arch_0035
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	57174	58202	+	WP_013169300.1	WP_013169300.1		LacI family transcriptional regulator			ARCH_RS00185	1029	342	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	58253	59203	+							ARCH_RS00190	951		old_locus_tag=Arch_0036
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	58253	59203	+	WP_013169301.1	WP_013169301.1		carbohydrate kinase			ARCH_RS00190	951	316	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	59335	60612	-							ARCH_RS00195	1278		old_locus_tag=Arch_0037
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	59335	60612	-	WP_013169302.1	WP_013169302.1		AGE family epimerase/isomerase			ARCH_RS00195	1278	425	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	61302	62435	+							ARCH_RS00200	1134		old_locus_tag=Arch_0038
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	61302	62435	+	WP_013169303.1	WP_013169303.1		zinc-binding dehydrogenase			ARCH_RS00200	1134	377	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	62893	64497	+							ARCH_RS00205	1605		old_locus_tag=Arch_0039
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	62893	64497	+	WP_197712430.1	WP_197712430.1		MFS transporter			ARCH_RS00205	1605	534	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	64556	64930	-							ARCH_RS00210	375		old_locus_tag=Arch_0040
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	64556	64930	-	WP_041640253.1	WP_041640253.1		hypothetical protein			ARCH_RS00210	375	124	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	65252	66115	-							ARCH_RS00215	864		old_locus_tag=Arch_0041
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	65252	66115	-	WP_013169306.1	WP_013169306.1		sugar phosphate isomerase/epimerase			ARCH_RS00215	864	287	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	66156	67142	-					iolG		ARCH_RS00220	987		old_locus_tag=Arch_0042
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	66156	67142	-	WP_013169307.1	WP_013169307.1		inositol 2-dehydrogenase	iolG		ARCH_RS00220	987	328	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	67179	68258	-							ARCH_RS00225	1080		old_locus_tag=Arch_0043
