#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_000376623.1	1176165.CAJD01000003_gene33	2.87e-122	348.0	COG0454@1|root,COG0456@2|Bacteria	2|Bacteria	K	acetyltransferase	yesJ	-	3.1.3.48	ko:K01104	-	-	-	-	ko00000,ko01000	-	-	-	Acetyltransf_1,Acetyltransf_10,Y_phosphatase3
WP_000946487.1	1484157.PSNIH2_20735	4.16e-198	549.0	COG0294@1|root,COG0294@2|Bacteria,1MUIR@1224|Proteobacteria,1S1B0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	H	Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives	-	-	2.5.1.15	ko:K18974	ko00790,ko01100,map00790,map01100	-	R03066,R03067	RC00121,RC00842	ko00000,ko00001,ko01000,ko01504	-	-	-	Pterin_bind
WP_010889966.1	585530.HMPREF0183_0643	9.63e-75	230.0	COG1309@1|root,COG1309@2|Bacteria,2HAGC@201174|Actinobacteria	201174|Actinobacteria	K	Transcriptional regulator	-	-	-	ko:K18476	-	M00668	-	-	ko00000,ko00002,ko03000	-	-	-	TetR_C,TetR_N
WP_011117480.1	1203566.HMPREF1285_01136	7.55e-206	569.0	COG0030@1|root,COG0030@2|Bacteria,2H1TK@201174|Actinobacteria,22JXN@1653|Corynebacteriaceae	201174|Actinobacteria	J	Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family	ermA	-	2.1.1.184	ko:K00561	-	-	R10716	RC00003,RC03257	br01600,ko00000,ko01000,ko01504,ko03009	-	-	-	RrnaAD
WP_049618658.1	1120945.ATUW01000002_gene1858	3.56e-162	494.0	COG0737@1|root,COG0737@2|Bacteria,2GKC3@201174|Actinobacteria,4D38X@85005|Actinomycetales	201174|Actinobacteria	F	Belongs to the 5'-nucleotidase family	-	-	3.1.3.5	ko:K01081	ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110	-	R00183,R00511,R00963,R01126,R01227,R01569,R01664,R01968,R02088,R02102,R02323,R02719,R03346	RC00017	ko00000,ko00001,ko01000	-	-	-	5_nucleotid_C,Metallophos
WP_049618659.1	883066.HMPREF9233_01317	4.39e-53	167.0	COG0234@1|root,COG0234@2|Bacteria,2IKTH@201174|Actinobacteria,4D5YM@85005|Actinomycetales	201174|Actinobacteria	O	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter	groS	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006355,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0016020,GO:0019219,GO:0019222,GO:0019899,GO:0030312,GO:0031323,GO:0031326,GO:0033554,GO:0034605,GO:0035375,GO:0035966,GO:0040007,GO:0042221,GO:0043167,GO:0043169,GO:0044424,GO:0044444,GO:0044464,GO:0046677,GO:0046872,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0061077,GO:0065007,GO:0071944,GO:0080090,GO:1903506,GO:2000112,GO:2001141	-	ko:K04078	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	Cpn10
WP_049618660.1	883066.HMPREF9233_01315	1.43e-214	596.0	COG0533@1|root,COG0533@2|Bacteria,2GJ98@201174|Actinobacteria,4D4C7@85005|Actinomycetales	201174|Actinobacteria	O	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction	tsaD	GO:0000408,GO:0002949,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0070525,GO:0071704,GO:0090304,GO:1901360	2.3.1.234	ko:K01409	-	-	R10648	RC00070,RC00416	ko00000,ko01000,ko03016	-	-	-	Acetyltransf_1,Peptidase_M22
WP_049618661.1	883066.HMPREF9233_01314	5.07e-67	213.0	COG0454@1|root,COG0456@2|Bacteria	2|Bacteria	K	acetyltransferase	rimI	GO:0003674,GO:0003824,GO:0004596,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006473,GO:0006474,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0008999,GO:0009987,GO:0010467,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0017189,GO:0018193,GO:0018194,GO:0019538,GO:0031365,GO:0034212,GO:0036211,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0051604,GO:0071704,GO:1901564	2.3.1.128,2.3.1.234	ko:K01409,ko:K03789,ko:K14742	-	-	R10648	RC00070,RC00416	ko00000,ko01000,ko03009,ko03016	-	-	-	Acetyltransf_1,Acetyltransf_10
WP_049618662.1	883066.HMPREF9233_01313	9.71e-111	324.0	COG1214@1|root,COG1214@2|Bacteria,2GMTM@201174|Actinobacteria,4D399@85005|Actinomycetales	201174|Actinobacteria	O	Universal bacterial protein YeaZ	yeaZ	GO:0002949,GO:0005575,GO:0005618,GO:0005623,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0030312,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044464,GO:0046483,GO:0070525,GO:0071704,GO:0071944,GO:0090304,GO:1901360	-	ko:K14742	-	-	-	-	ko00000,ko03016	-	-	-	Peptidase_M22
WP_049618663.1	883066.HMPREF9233_01312	3.32e-82	248.0	COG0802@1|root,COG0802@2|Bacteria,2IKV2@201174|Actinobacteria,4D317@85005|Actinomycetales	201174|Actinobacteria	S	Hydrolase, P-loop family	tsaE	GO:0008150,GO:0040007	-	ko:K06925	-	-	-	-	ko00000,ko03016	-	-	-	TsaE
