# Assembly name:  ASM118356v1
# Organism name:  Actinobaculum suis (high GC Gram+)
# Infraspecific name:  strain=U311
# Taxid:          1657
# BioSample:      SAMN03783260
# BioProject:     PRJNA287444
# Submitter:      School of Veterinary Medicine and Animal Science / University of Sao Paulo
# Date:           2015-07-21
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    LFUS01
# Assembly method: CLC NGS Cell v. 7.5.1
# Expected final version: no
# Genome coverage: 60.0x
# Sequencing technology: Illumina MiSeq
# GenBank assembly accession: GCA_001183565.1
# RefSeq assembly accession: GCF_001183565.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001183575.1	GCF_001183575.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
R9-3-1_contig_1	unplaced-scaffold	na	na	LFUS01000001.1	=	NZ_LFUS01000001.1	Primary Assembly	59306	na
R9-3-1_contig_10	unplaced-scaffold	na	na	LFUS01000010.1	=	NZ_LFUS01000010.1	Primary Assembly	29993	na
R9-3-1_contig_11	unplaced-scaffold	na	na	LFUS01000011.1	=	NZ_LFUS01000011.1	Primary Assembly	93736	na
R9-3-1_contig_12	unplaced-scaffold	na	na	LFUS01000012.1	=	NZ_LFUS01000012.1	Primary Assembly	87129	na
R9-3-1_contig_13	unplaced-scaffold	na	na	LFUS01000013.1	=	NZ_LFUS01000013.1	Primary Assembly	33411	na
R9-3-1_contig_14	unplaced-scaffold	na	na	LFUS01000014.1	=	NZ_LFUS01000014.1	Primary Assembly	58869	na
R9-3-1_contig_15	unplaced-scaffold	na	na	LFUS01000015.1	=	NZ_LFUS01000015.1	Primary Assembly	57906	na
R9-3-1_contig_16	unplaced-scaffold	na	na	LFUS01000016.1	=	NZ_LFUS01000016.1	Primary Assembly	1525	na
R9-3-1_contig_17	unplaced-scaffold	na	na	LFUS01000017.1	=	NZ_LFUS01000017.1	Primary Assembly	69766	na
R9-3-1_contig_18	unplaced-scaffold	na	na	LFUS01000018.1	=	NZ_LFUS01000018.1	Primary Assembly	205384	na
