#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
chromosome,NZ_CP053291.1,2238873,2240444,-,,,HLG82_RS10200,WP_193326714.1,523,DASS family sodium-coupled anion symporter
chromosome,NZ_CP053291.1,2240886,2241479,+,,,HLG82_RS10205,WP_193326715.1,197,hypothetical protein
chromosome,NZ_CP053291.1,2242355,2245018,+,,,HLG82_RS10215,WP_193326716.1,887,hypothetical protein
chromosome,NZ_CP053291.1,2245677,2246540,-,,,HLG82_RS10225,WP_193326717.1,287,Cof-type HAD-IIB family hydrolase
chromosome,NZ_CP053291.1,2246547,2247812,-,,serS,HLG82_RS10230,WP_193326718.1,421,serine--tRNA ligase
chromosome,NZ_CP053291.1,2248053,2249312,+,,,HLG82_RS10235,WP_193326719.1,419,diacylglycerol kinase family protein
chromosome,NZ_CP053291.1,2249390,2250319,-,,pheA,HLG82_RS10240,WP_216858943.1,309,prephenate dehydratase
chromosome,NZ_CP053291.1,2250357,2252582,+,,,HLG82_RS10245,WP_193326720.1,741,hypothetical protein
chromosome,NZ_CP053291.1,2252635,2253405,-,,,HLG82_RS10250,WP_255313897.1,256,glycosyltransferase
chromosome,NZ_CP053291.1,2253537,2254394,-,,,HLG82_RS10255,WP_193326722.1,285,DUF5926 family protein
chromosome,NZ_CP053291.1,2254679,2255752,-,,,HLG82_RS10260,WP_255313898.1,357,alpha/beta fold hydrolase
chromosome,NZ_CP053291.1,2255755,2256393,-,,upp,HLG82_RS10265,WP_193326723.1,212,uracil phosphoribosyltransferase
chromosome,NZ_CP053291.1,2256454,2256903,+,,tadA,HLG82_RS10270,WP_193326724.1,149,tRNA adenosine(34) deaminase TadA
chromosome,NZ_CP053291.1,2257846,2259189,+,,brnQ,HLG82_RS10280,WP_193326725.1,447,branched-chain amino acid transport system II carrier protein
chromosome,NZ_CP053291.1,2259902,2261395,+,,,HLG82_RS10285,WP_193327819.1,497,DUF1846 domain-containing protein
chromosome,NZ_CP053291.1,2261398,2263842,+,,,HLG82_RS10290,WP_193326726.1,814,HAD-IC family P-type ATPase
chromosome,NZ_CP053291.1,2263839,2264162,+,,,HLG82_RS10295,WP_193326727.1,107,MoaD/ThiS family protein
chromosome,NZ_CP053291.1,2264164,2264964,+,,,HLG82_RS10300,WP_193326728.1,266,ThiF family adenylyltransferase
chromosome,NZ_CP053291.1,2265441,2265860,-,,,HLG82_RS10305,WP_193326729.1,139,hypothetical protein
chromosome,NZ_CP053291.1,2267020,2268846,+,,,HLG82_RS10310,WP_193327820.1,608,SpaH/EbpB family LPXTG-anchored major pilin
chromosome,NZ_CP053291.1,2269043,2270041,+,,,HLG82_RS10315,WP_193326730.1,332,class C sortase
chromosome,NZ_CP053291.1,2270038,2270757,+,,,HLG82_RS10320,WP_193326731.1,239,hypothetical protein
chromosome,NZ_CP053291.1,2270759,2274811,+,,,HLG82_RS10325,WP_193326732.1,1350,DUF11 domain-containing protein
chromosome,NZ_CP053291.1,2274963,2275223,-,,,HLG82_RS10330,WP_193326733.1,86,GlsB/YeaQ/YmgE family stress response membrane protein
chromosome,NZ_CP053291.1,2275368,2277287,-,,,HLG82_RS10335,WP_255313968.1,639,ABC transporter permease
chromosome,NZ_CP053291.1,2277287,2278117,-,,modA,HLG82_RS10340,WP_193326735.1,276,molybdate ABC transporter substrate-binding protein
chromosome,NZ_CP053291.1,2278333,2278830,+,,,HLG82_RS10345,WP_193326736.1,165,MogA/MoaB family molybdenum cofactor biosynthesis protein
chromosome,NZ_CP053291.1,2278949,2280241,-,,,HLG82_RS10350,WP_255313899.1,430,molybdopterin-binding protein
chromosome,NZ_CP053291.1,2280238,2280735,-,,moaC,HLG82_RS10355,WP_193326737.1,165,cyclic pyranopterin monophosphate synthase MoaC
chromosome,NZ_CP053291.1,2280839,2281270,+,,,HLG82_RS10360,WP_193326738.1,143,molybdenum cofactor biosynthesis protein MoaE
chromosome,NZ_CP053291.1,2281498,2282532,-,,moaA,HLG82_RS10365,WP_193326739.1,344,"GTP 3\\',8-cyclase MoaA"
chromosome,NZ_CP053291.1,276,1001,+,,,HLG82_RS00005,WP_193326740.1,241,hypothetical protein
chromosome,NZ_CP053291.1,998,1369,+,,,HLG82_RS00010,WP_193326741.1,123,YccF domain-containing protein
chromosome,NZ_CP053291.1,1505,2713,-,,,HLG82_RS00015,WP_193326742.1,402,alpha-amylase family protein
chromosome,NZ_CP053291.1,3467,4579,-,,,HLG82_RS00025,WP_216858944.1,370,metallophosphoesterase
chromosome,NZ_CP053291.1,4665,7064,-,,,HLG82_RS00030,WP_255313900.1,799,transglycosylase domain-containing protein
chromosome,NZ_CP053291.1,7322,7660,+,,,HLG82_RS00035,WP_193326744.1,112,WhiB family transcriptional regulator
chromosome,NZ_CP053291.1,7939,8094,+,,,HLG82_RS00040,WP_193326745.1,51,hypothetical protein
chromosome,NZ_CP053291.1,8097,8552,+,,,HLG82_RS00045,WP_193326746.1,151,RidA family protein
chromosome,NZ_CP053291.1,9010,9687,-,,,HLG82_RS00050,WP_193326747.1,225,Crp/Fnr family transcriptional regulator
chromosome,NZ_CP053291.1,9917,10549,+,,nth,HLG82_RS00055,WP_255313969.1,210,endonuclease III
chromosome,NZ_CP053291.1,10578,11492,-,,,HLG82_RS00060,WP_193326749.1,304,alpha/beta hydrolase
chromosome,NZ_CP053291.1,11492,12682,-,,,HLG82_RS00065,WP_193326750.1,396,hypothetical protein
chromosome,NZ_CP053291.1,12836,13807,+,,,HLG82_RS00070,WP_193326751.1,323,hypothetical protein
chromosome,NZ_CP053291.1,13804,15042,+,,,HLG82_RS00075,WP_193326752.1,412,TadA family conjugal transfer-associated ATPase
chromosome,NZ_CP053291.1,15039,15701,+,,,HLG82_RS00080,WP_193326753.1,220,hypothetical protein
chromosome,NZ_CP053291.1,15709,16323,+,,,HLG82_RS00085,WP_193326754.1,204,type II secretion system F family protein
chromosome,NZ_CP053291.1,16830,17015,+,,,HLG82_RS00090,WP_193326755.1,61,DUF4244 domain-containing protein
chromosome,NZ_CP053291.1,17219,17587,+,,,HLG82_RS00095,WP_193326756.1,122,hypothetical protein
chromosome,NZ_CP053291.1,17666,18052,+,,,HLG82_RS00100,WP_193326757.1,128,hypothetical protein
chromosome,NZ_CP053291.1,18025,20367,-,,,HLG82_RS00105,WP_193326758.1,780,DEAD/DEAH box helicase
chromosome,NZ_CP053291.1,20487,20738,-,,,HLG82_RS00110,WP_193326759.1,83,helix-turn-helix transcriptional regulator
chromosome,NZ_CP053291.1,20728,21321,-,,,HLG82_RS00115,WP_193326760.1,197,DUF2975 domain-containing protein
chromosome,NZ_CP053291.1,21547,23070,+,,,HLG82_RS00120,WP_193326761.1,507,50S ribosomal protein L11 methyltransferase
chromosome,NZ_CP053291.1,23159,25888,+,,topA,HLG82_RS00125,WP_193326762.1,909,type I DNA topoisomerase
chromosome,NZ_CP053291.1,25903,26604,+,,tmk,HLG82_RS00130,WP_193326763.1,233,dTMP kinase
chromosome,NZ_CP053291.1,26601,27803,+,,,HLG82_RS00135,WP_193326764.1,400,DNA polymerase III subunit delta\\'
chromosome,NZ_CP053291.1,27934,29472,+,,,HLG82_RS00140,WP_193326765.1,512,alpha/beta hydrolase
chromosome,NZ_CP053291.1,30036,30263,+,,,HLG82_RS00155,WP_193326766.1,75,MULTISPECIES: helix-turn-helix domain-containing protein
chromosome,NZ_CP053291.1,30310,31083,+,,,HLG82_RS00160,WP_193326767.1,257,hypothetical protein
chromosome,NZ_CP053291.1,31117,32454,+,,,HLG82_RS00165,WP_193326768.1,445,hypothetical protein
chromosome,NZ_CP053291.1,32435,32632,+,,,HLG82_RS00170,WP_193326769.1,65,hypothetical protein
chromosome,NZ_CP053291.1,32647,33027,+,,,HLG82_RS00175,WP_129288858.1,126,MULTISPECIES: PrgI family protein
chromosome,NZ_CP053291.1,32966,35335,+,,,HLG82_RS00180,WP_255313901.1,789,ATP-binding protein
chromosome,NZ_CP053291.1,35857,36990,+,,,HLG82_RS00185,WP_193326770.1,377,CHAP domain-containing protein
chromosome,NZ_CP053291.1,36987,37820,+,,,HLG82_RS00190,WP_129288860.1,277,MULTISPECIES: hypothetical protein
chromosome,NZ_CP053291.1,37870,39543,-,,,HLG82_RS00195,WP_255313902.1,557,type IV secretory system conjugative DNA transfer family protein
chromosome,NZ_CP053291.1,39540,39953,-,,,HLG82_RS00200,WP_193326771.1,137,MULTISPECIES: hypothetical protein
chromosome,NZ_CP053291.1,39946,40239,-,,,HLG82_RS00205,WP_193326772.1,97,hypothetical protein
chromosome,NZ_CP053291.1,40236,41249,-,,,HLG82_RS00210,WP_193326773.1,337,PcfB family protein
